1.1.1.1.1	DINAS PENDIDIKAN DAN KEBUDAYAAN
4.1.1.2.22	DINAS PENDAPATAN DAN KEUANGAN DAERAH
4.1.1.2.23	INSPEKTORAT KOTA
4.1.1.2.24	BAPPEDA
4.1.1.2.25	KANTOR LINGKUNGAN HIDUP
4.1.1.2.26	KANTOR KESATUAN BANGSA, POLITIK, DAN PERLINDUNGAN MASYARAKAT
4.1.1.2.27	SATUAN POLISI PAMONG PRAJA
4.1.1.2.28	BADAN KEPEGAWAIAN DAERAH
4.1.1.2.29	KANTOR PERPUSTAKAAN DAN ARSIP DAERAH
4.1.2.1.1	KEPALA DAERAH DAN WAKIL KEPALA DAERAH
4.1.3.1.1	SEKRETARIAT DPRD
4.1.4.1.1	DPRD KOTA
4.1.5.1.1	INSPEKTORAT
4.1.6.1.1	SEKRETARIAT KORPRI
4.1.7.1.1	PENGELOLA BARANG MILIK DAERAH (BIDANG ASET)
4.1.8.1.1	KOSONG
5.1.1.1.1	KANTOR KESATUAN BANGSA DAN POLITIK
5.1.2.1.1	BADAN PENANGGULANGAN BENCANA DAERAH
6.1.1.1.1	KECAMATAN SERANG
6.1.1.1.2	KEL. TERONDOL
6.1.1.1.3	KEL. SERANG
6.1.1.1.4	KEL. KALIGANDU
6.1.1.1.5	KEL. SUKAWANA
6.1.1.1.6	KEL. CIPARE
6.1.1.1.7	KEL. SUMUR PECUNG
6.1.1.1.8	KEL. LOPANG
6.1.1.1.9	KEL. LONTAR BARU
6.1.1.1.10	KEL. KAGUNGAN
6.1.1.1.11	KEL. KOTA BARU
6.1.1.1.12	KEL. UNYUR
6.1.1.1.13	KEL. CIMUNCANG
6.1.2.1.1	KECAMATAN CIPOCOK JAYA
6.1.2.1.2	KEL. GELAM
6.1.2.1.3	KEL. DALUNG
6.1.2.1.4	KEL. TEMBONG
6.1.2.1.5	KEL. KARUNDANG
6.1.2.1.6	KEL. BANJAR SARI
6.1.2.1.7	KEL. BANJAR AGUNG
6.1.2.1.8	KEL. PENANCANGAN
6.1.2.1.9	KEL. CIPOCOK JAYA
6.1.3.1.1	KECAMATAN KASEMEN
6.1.3.1.2	KEL. MESJID PRIYAYI
6.1.3.1.3	KEL. MARGALUYU
6.1.3.1.4	KEL. TERUMBU
6.1.3.1.5	KEL. WARUNG JAUD
6.1.3.1.6	KEL. SAWAH LUHUR
6.1.3.1.7	KEL. BANTEN
6.1.3.1.8	KEL. KILASAH
6.1.3.1.9	KEL. BENDUNG
6.1.3.1.10	KEL. KASUNYATAN
6.1.3.1.11	KEL. KASEMEN
6.1.4.1.1	KECAMATAN TAKTAKAN
6.1.4.1.2	KEL. TAKTAKAN
6.1.4.1.3	KEL. PANGGUNG JATI
6.1.4.1.4	KEL. DRANGONG
6.1.4.1.5	KEL. SEPANG
6.1.4.1.6	KEL. KURANJI
6.1.4.1.7	KEL. KALANG ANYAR
6.1.4.1.8	KEL. UMBUL TENGAH
6.1.4.1.9	KEL. SAYAR
6.1.4.1.10	KEL. LIALANG
6.1.4.1.11	KEL. TAMAN BARU
6.1.4.1.12	KEL. PANCUR
6.1.4.1.13	KEL. CILOWONG
6.1.4.1.14	KEL. CIBENDUNG
6.1.5.1.1	KECAMATAN WALANTAKA
6.1.5.1.2	KEL. TERITIH
6.1.5.1.3	KEL. PAGER AGUNG
6.1.5.1.4	KEL. WALANTAKA
6.1.5.1.5	KEL. LEBAK WANGI
6.1.5.1.6	KEL. NYAPAH
6.1.5.1.7	KEL. TEGAL SARI
6.1.5.1.8	KEL. CIGOONG
6.1.5.1.9	KEL. KIARA
6.1.5.1.10	KEL. PASULUHAN
6.1.5.1.11	KEL. PENGAMPELAN
6.1.5.1.12	KEL. PABUARAN
6.1.5.1.13	KEL. PIPITAN
6.1.5.1.14	KEL. KEPUREN
6.1.5.1.15	KEL. KALODRAN
6.1.6.1.1	KECAMATAN CURUG
6.1.6.1.2	KEL. CURUG
6.1.6.1.3	KEL. TINGGAR
6.1.6.1.4	KEL. CILAKU
6.1.6.1.5	KEL. SUKAJAYA
6.1.6.1.6	KEL. CURUG MANIS
6.1.6.1.7	KEL. SUKAWANA
6.1.6.1.8	KEL. KAMANISAN
6.1.6.1.9	KEL. CIPETE
6.1.6.1.10	KEL. PANCALAKSANA
6.1.6.1.11	KEL. SUKALAKSANA
6.3.3.1.7	KEL. KASUNYATAN
6.3.3.1.8	KEL. KASEMEN
6.3.3.1.9	KEL. BANTEN
6.3.3.1.10	KEL. KILASAH
6.3.3.1.11	KEL. BENDUNG
