316	04.14.07.01.006	Bangunan Pembawa Air KOtor Lain-lain
317	04.14.07.02.001	Waduk Air Kotor
318	04.14.07.02.002	Waduk Air Buangan Domestik
319	04.14.07.02.003	Waduk Air Buangan Industri
320	04.14.07.02.004	Waduk Air Buangan Pertanian
321	04.14.07.02.005	Bangunan Waduk Air Kotor Lain-lain
322	04.14.07.03.001	Bangunan Pembuangan Air Hujan
323	04.14.07.03.002	Bangunan Pembuangan Air Domestik
324	04.14.07.03.003	Bangunan Pembuangan Air Pertanian
325	04.14.07.03.004	Bangunan Pembuangan Air Kotor Lain-lain
326	04.14.07.04.001	Bangunan Pompa Air Hujan
327	04.14.07.04.002	Bangunan Pompa Air Buangan Domestik
328	04.14.07.04.003	Bangunan Pompa Air Buangan Industri
329	04.14.07.04.004	Bangunan Pompa Air Buangan Pertanian
330	04.14.07.04.005	Bangunan Pengamanan Air Kotor Lain-lain
331	04.14.07.05.001	Bangunan Talang
332	04.14.07.05.002	Bangunan Syphon
333	04.14.07.05.003	Bangunan Gorong-gorong
334	04.14.07.05.004	Bangunan Jembatan
335	04.14.07.05.005	Bangunan Air Kotor Saluran Dari Rumah
336	04.14.07.05.006	Bangunan Pelengkap Air Kotor Lain-lain
337	04.14.08.01.001	Pelabuhan
338	04.14.08.01.002	Lain-lain
339	04.14.08.02.001	Dermaga
340	04.14.08.02.002	Lain-lain
341	04.15.01.01.002	Air Muka Tanah Kapasitas Sedang
342	04.15.01.01.003	Air Muka Tanah Kapasitas Besar
343	04.15.01.01.004	Air Muka Tanah Lain-lain
344	04.15.01.02.001	Air Sumber Kapasitas Kecil
345	04.15.01.02.002	Air Sumber Kapasitas Sedang
346	04.15.01.02.003	Air Sumber Kapasitas Besar
347	04.15.01.02.004	Air Sumber/Mata Air Lain-lain
348	04.15.01.03.001	Air Tanah Dalam Kapasitas Kecil
349	04.15.01.03.002	Air Tanah Dalam Kapasitas Sedang
350	04.15.01.03.003	Air Tanah Dalam Kapasitas Besar
351	04.15.01.03.004	Air Tanah Dalam Lain-lain
352	04.15.01.04.001	Instalasi Air Tanah Dangkal Kapasitas Kecil
353	04.15.01.04.002	Instalasi Air Tanah Dangkal Kapasitas Sedang
354	04.15.01.04.003	Instalasi Air Tanah Dangkal Kapasitas Besar
355	04.15.01.04.004	Instalasi Air Tanah Dangkal Lain-lain
356	04.15.01.05.001	Sistem Pengolahan Air Sederhana (Sipas)
357	04.15.01.05.002	Jaringan Rumah Tangga (Jarut)
358	04.15.01.05.003	Penampungan Air Hujan (PAM)
359	04.15.01.05.004	Sumur Gali (SGL)
